eGRID.subregion.acronym,eGRID.subregion.name,CO2,CH4,N2O,CO2e,Annual NOx,Ozone Season NOx,SO2,Grid.Gross.Loss
AKGD,ASCC Alaska Grid,1367.763,0.11,0.016,1375,6.761,6.708,0.747,0.0525281052163045
AKMS,ASCC Miscellaneous,1533.805,0.068,0.012,1538.913,21.79,20.846,1.965,0.0525281052163045
AZNM,WECC Southwest,1384.823,0.097,0.014,1391.222,1.299,1.136,0.354,0.0423472028310466
CAMX,WECC California,942.94,0.045,0.006,945.607,0.828,0.783,0.056,0.0423472028310466
ERCT,ERCOT All,1402.821,0.108,0.015,1409.751,0.751,0.745,1.596,0.0488851547971442
FRCC,FRCC All,1188.485,0.078,0.011,1193.266,0.594,0.613,0.434,0.0448741838349128
HIMS,HICC Miscellaneous,1529.999,0.147,0.023,1540.205,11.82,11.316,4.547,0.0534959073267901
HIOA,HICC Oahu,1637.529,0.153,0.024,1648.314,4.1,4.156,8.148,0.0534959073267901
MROE,MRO East,1740.055,0.156,0.025,1750.936,0.981,1.011,1.329,0.0448741838349128
MROW,MRO West,1821.967,0.154,0.029,1833.986,1.584,1.479,2.024,0.0448741838349128
NEWE,NPCC New England,975.136,0.086,0.011,980.492,0.522,0.438,0.232,0.0448741838349128
NWPP,WECC Northwest,1524.886,0.124,0.02,1533.809,1.387,1.406,0.844,0.0423472028310466
NYCW,NPCC NYC/Westchester,1061.676,0.022,0.002,1062.856,0.473,0.562,0.024,0.0448741838349128
NYLI,NPCC Long Island,1338.799,0.036,0.004,1340.899,0.931,0.878,0.282,0.0448741838349128
NYUP,NPCC Upstate NY,1018.249,0.061,0.008,1022.002,0.792,0.77,0.92,0.0448741838349128
RFCE,RFC East,1434.424,0.079,0.017,1441.398,1.236,1.115,1.225,0.0448741838349128
RFCM,RFC Michigan,1806.07,0.101,0.025,1816.085,1.3,1.217,2.809,0.0448741838349128
RFCW,RFC West,1934.366,0.172,0.029,1946.896,1.522,1.447,2.185,0.0448741838349128
RMPA,WECC Rockies,1688.279,0.147,0.021,1697.877,1.238,1.18,0.803,0.0423472028310466
SPNO,SPP North,1990.822,0.202,0.029,2004.108,1.412,1.491,1.067,0.0448741838349128
SPSO,SPP South,1662.548,0.121,0.019,1670.862,1.267,1.282,2.376,0.0448741838349128
SRMV,SERC Mississippi Valley,1186.02,0.071,0.01,1190.6,1.25,1.38,1.091,0.0448741838349128
SRMW,SERC Midwest,1955.215,0.084,0.031,1966.541,1.283,1.229,3.096,0.0448741838349128
SRSO,SERC South,1453.541,0.115,0.017,1461.082,0.782,0.658,0.631,0.0448741838349128
SRTV,SERC Tennessee Valley,1757.366,0.135,0.025,1767.892,1.101,1.051,1.572,0.0448741838349128
SRVC,SERC Virginia/Carolina,1422.233,0.111,0.019,1430.364,0.787,0.76,0.628,0.0448741838349128
