zip,county,State_name,Region,Division,State_FIPS,County_FIPS,Area_name
60001,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60002,17097,Illinois,Midwest,East North Central,17,097,Lake County
60004,17031,Illinois,Midwest,East North Central,17,031,Cook County
60005,17031,Illinois,Midwest,East North Central,17,031,Cook County
60006,17031,Illinois,Midwest,East North Central,17,031,Cook County
60007,17043,Illinois,Midwest,East North Central,17,043,DuPage County
60007,17031,Illinois,Midwest,East North Central,17,031,Cook County
60008,17031,Illinois,Midwest,East North Central,17,031,Cook County
60009,17031,Illinois,Midwest,East North Central,17,031,Cook County
60010,17097,Illinois,Midwest,East North Central,17,097,Lake County
60010,17089,Illinois,Midwest,East North Central,17,089,Kane County
60010,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60010,17031,Illinois,Midwest,East North Central,17,031,Cook County
60011,17031,Illinois,Midwest,East North Central,17,031,Cook County
60012,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60013,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60013,17097,Illinois,Midwest,East North Central,17,097,Lake County
60014,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60015,17097,Illinois,Midwest,East North Central,17,097,Lake County
60015,17031,Illinois,Midwest,East North Central,17,031,Cook County
60016,17031,Illinois,Midwest,East North Central,17,031,Cook County
60017,17031,Illinois,Midwest,East North Central,17,031,Cook County
60018,17031,Illinois,Midwest,East North Central,17,031,Cook County
60020,17097,Illinois,Midwest,East North Central,17,097,Lake County
60021,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60021,17097,Illinois,Midwest,East North Central,17,097,Lake County
60022,17031,Illinois,Midwest,East North Central,17,031,Cook County
60025,17031,Illinois,Midwest,East North Central,17,031,Cook County
60026,17031,Illinois,Midwest,East North Central,17,031,Cook County
60029,17031,Illinois,Midwest,East North Central,17,031,Cook County
60030,17097,Illinois,Midwest,East North Central,17,097,Lake County
60031,17097,Illinois,Midwest,East North Central,17,097,Lake County
60033,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60033,17007,Illinois,Midwest,East North Central,17,007,Boone County
60034,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60035,17097,Illinois,Midwest,East North Central,17,097,Lake County
60037,17097,Illinois,Midwest,East North Central,17,097,Lake County
60038,17031,Illinois,Midwest,East North Central,17,031,Cook County
60039,17111,Illinois,Midwest,East North Central,17,111,McHenry County
60040,17097,Illinois,Midwest,East North Central,17,097,Lake County
60041,17097,Illinois,Midwest,East North Central,17,097,Lake County
